State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,Rural_Households,Urban_Households,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Ownership_Owned_Households,Ownership_Rented_Households,Households_with_Computer,Households_with_Car_Jeep_Van,Households_with_Television,sex_ratio,litracy_rate
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,303,14204,22272,8503,15881,2218,29969,577,3311,49,14876,4678,1300,1964,9593,93.0,57.66784829969539
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,2078,84804,447189,52192,492966,1198036,1020,112,49,399,326160,7625,25286,5560,55319,95.0,52.9668367557814
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,2523,49866,181923,38470,359145,371033,5924,384,236,871,134382,12007,12959,5837,36350,97.0,58.75414859692151
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,5316,140205,346227,88933,1038985,654816,37635,280,341,1673,324905,25190,37541,8700,99887,96.0,67.61007176596797
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,1166,45444,268517,20189,327322,597392,1688,431,57,724,180669,3789,12084,3533,30616,95.0,52.4543887991384
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,1192,28195,211758,16504,655052,13475,8711,297,911,167,122182,5984,10410,3504,25776,95.0,61.65393589872517
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,8817,136685,299852,77163,1198401,64526,52968,2261,4673,1055,195303,38157,34479,21112,121737,96.0,66.68986342062902
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,1364,78641,228610,39504,347878,579929,77862,771,194,477,190189,4793,13524,4112,42628,96.0,55.90026810608788
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,3073,82345,292893,34190,917426,90312,50582,1131,3863,530,193055,12450,17636,9295,70930,96.0,67.6513373475004
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,1211,44143,159215,16202,251194,397653,8480,84,490,247,134032,4264,10615,2583,19998,95.0,61.78802844245984
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,5651,122063,286330,80824,1008219,54684,21051,1540,2378,719,196137,21137,26357,16081,92598,96.0,72.7786343128351
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,3109,122191,390596,43849,877495,601784,33297,319,185,1330,295002,7808,23468,10052,90941,95.0,65.58757517090137
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,1923,53918,215691,37185,766000,20290,157789,370,6260,397,155192,16484,11340,3934,56689,95.0,58.26690633715113
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,1933,70951,261945,32695,521962,692489,11990,114,446,524,230546,10212,24699,3757,38570,96.0,64.72744053403392
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,1218,41373,204896,17115,529068,252271,101091,93,1718,396,171597,4205,14063,2996,32320,96.0,55.15520626912039
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,1948,60296,293239,34694,797130,193476,46217,412,1074,250,183814,12407,15011,6904,45689,97.0,65.58504304136596
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,5121,195631,674999,124186,1225246,1563203,26844,3036,1073,1162,509358,32751,45956,13979,127523,96.0,60.582739091880065
